201229,Anthony Tolliver,1610612765,DET,29.0,6-8,80,240,Creighton,USA,Undrafted,Undrafted,Undrafted,76,6.3,3.1,0.8,3.2,0.039,0.152,0.148,0.569,0.061
203462,Archie Goodwin,1610612756,PHX,20.0,6-5,77,198,Kentucky,USA,2013,1,29,41,5.6,1.8,1.1,-15.4,0.049,0.1,0.23,0.486,0.149
202620,Arinze Onuaku,1610612750,MIN,27.0,6-9,81,275,Syracuse,USA,Undrafted,Undrafted,Undrafted,6,4.5,3.5,0.7,-9.7,0.115,0.212,0.125,0.771,0.089
203382,Aron Baynes,1610612759,SAS,28.0,6-10,82,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,70,6.6,4.5,0.5,6.8,0.114,0.206,0.176,0.618,0.049
201167,Arron Afflalo,1610612757,POR,29.0,6-5,77,215,California-Los Angeles,USA,2007,1,27,78,13.3,3.2,1.7,-1.2,0.012,0.096,0.191,0.533,0.079
201948,Austin Daye,1610612737,ATL,26.0,6-11,83,220,Gonzaga,USA,2009,1,15,34,3.8,2.2,0.5,-3.1,0.031,0.212,0.217,0.449,0.083
203085,Austin Rivers,1610612746,LAC,22.0,6-4,76,200,Duke,USA,2012,1,10,76,7.0,2.0,2.0,-3.2,0.019,0.089,0.179,0.481,0.157
202340,Avery Bradley,1610612738,BOS,24.0,6-2,74,180,Texas,USA,2010,1,19,77,13.9,3.1,1.8,-2.4,0.02,0.089,0.21,0.507,0.087
2732,Ben Gordon,1610612753,ORL,32.0,6-3,75,205,Connecticut,USA,2004,1,3,56,6.2,1.1,0.9,-9.0,0.008,0.083,0.22,0.538,0.111
203463,Ben McLemore,1610612758,SAC,22.0,6-5,77,195,Kansas,USA,2013,1,7,82,12.1,2.9,1.7,-1.3,0.014,0.086,0.172,0.552,0.082
2757,Beno Udrih,1610612763,MEM,32.0,6-3,75,205,None,Slovenia,2004,1,28,79,7.7,1.8,2.8,0.2,0.015,0.092,0.197,0.55,0.236
203108,Bernard James,1610612742,DAL,30.0,6-10,82,235,Florida State,USA,2012,2,33,16,2.8,2.4,0.3,-1.7,0.123,0.146,0.12,0.593,0.039
202687,Bismack Biyombo,1610612766,CHA,22.0,6-9,81,245,None,Democratic Republic of Congo,2011,1,7,64,4.8,6.4,0.3,-1.2,0.134,0.222,0.115,0.578,0.021
201933,Blake Griffin,1610612746,LAC,26.0,6-10,82,251,Oklahoma,USA,2009,1,1,67,21.9,7.6,5.3,11.5,0.063,0.18,0.281,0.551,0.246
202711,Bojan Bogdanovic,1610612751,BKN,26.0,6-8,80,216,None,Croatia,2011,2,31,78,9.0,2.7,0.9,-4.9,0.031,0.097,0.172,0.562,0.057
2564,Boris Diaw,1610612759,SAS,33.0,6-8,80,250,None,France,2003,1,21,81,8.7,4.3,2.9,6.7,0.046,0.153,0.183,0.526,0.181
203078,Bradley Beal,1610612764,WAS,21.0,6-5,77,207,Florida,USA,2012,1,3,63,15.3,3.8,3.1,5.8,0.032,0.098,0.226,0.521,0.144
201148,Brandan Wright,1610612756,PHX,27.0,6-10,82,210,North Carolina,USA,2007,1,8,75,7.3,4.3,0.5,0.1,0.099,0.148,0.138,0.66,0.044
101138,Brandon Bass,1610612738,BOS,30.0,6-8,80,250,Louisiana State,USA,2005,2,33,82,10.6,4.9,1.3,-2.1,0.079,0.149,0.2,0.557,0.091
203561,Brandon Davies,1610612751,BKN,23.0,6-10,82,240,Brigham Young,USA,Undrafted,Undrafted,Undrafted,27,5.3,3.1,1.1,-19.1,0.099,0.135,0.186,0.463,0.123
201943,Brandon Jennings,1610612765,DET,25.0,6-1,73,169,None,USA,2009,1,10,41,15.4,2.5,6.6,0.8,0.017,0.079,0.254,0.522,0.384
202688,Brandon Knight,1610612756,PHX,23.0,6-3,75,189,Kentucky,USA,2011,1,8,63,17.0,3.9,5.2,-1.1,0.015,0.119,0.254,0.543,0.272
201575,Brandon Rush,1610612744,GSW,29.0,6-6,78,220,Kansas,USA,2008,1,13,33,0.9,1.2,0.4,-18.9,0.015,0.154,0.111,0.255,0.063
2217,Brendan Haywood,1610612739,CLE,35.0,7-0,84,263,North Carolina,USA,2001,1,20,22,1.6,1.3,0.1,-21.3,0.056,0.192,0.181,0.49,0.032
203148,Brian Roberts,1610612766,CHA,29.0,6-1,73,173,Dayton,USA,Undrafted,Undrafted,Undrafted,72,6.7,1.5,2.3,-4.2,0.011,0.079,0.187,0.495,0.209
201572,Brook Lopez,1610612751,BKN,27.0,7-0,84,275,Stanford,USA,2008,1,10,72,17.2,7.4,0.7,-2.5,0.113,0.17,0.262,0.558,0.044
203998,Bruno Caboclo,1610612761,TOR,19.0,6-9,81,205,None,Brazil,2014,1,20,8,1.3,0.3,0.0,-60.3,0.048,0.05,0.315,0.417,0.0
203955,Bryce Cotton,1610612762,UTA,22.0,6-1,73,165,Providence,USA,Undrafted,Undrafted,Undrafted,15,5.3,1.2,1.0,-0.4,0.021,0.106,0.237,0.52,0.169
203468,CJ McCollum,1610612757,POR,23.0,6-4,76,200,Lehigh,USA,2013,1,10,62,6.8,1.5,1.0,5.3,0.016,0.083,0.205,0.534,0.104
101139,CJ Miles,1610612754,IND,28.0,6-6,78,231,None,USA,2005,2,34,70,13.5,3.1,1.1,4.0,0.011,0.114,0.235,0.525,0.069
201228,CJ Watson,1610612754,IND,31.0,6-2,74,175,Tennessee,USA,Undrafted,Undrafted,Undrafted,57,10.0,2.9,3.6,-0.6,0.014,0.113,0.185,0.581,0.229
203912,CJ Wilcox,1610612746,LAC,24.0,6-5,77,195,Washington,USA,2014,1,28,21,2.0,0.3,0.4,-10.9,0.011,0.062,0.223,0.527,0.151
203946,Cameron Bairstow,1610612741,CHI,24.0,6-9,81,250,New Mexico,Australia,2014,2,49,18,0.6,0.4,0.1,-16.5,0.111,0.041,0.14,0.309,0.021
201171,Carl Landry,1610612758,SAC,31.0,6-9,81,248,Purdue,USA,2007,2,31,70,7.2,3.8,0.4,-9.2,0.095,0.152,0.182,0.578,0.04
2430,Carlos Boozer,1610612747,LAL,33.0,6-9,81,258,Duke,USA,2002,2,34,71,11.8,6.8,1.3,-9.2,0.07,0.248,0.235,0.517,0.101
2546,Carmelo Anthony,1610612752,NYK,30.0,6-8,80,240,Syracuse,USA,2003,1,3,40,24.2,6.6,3.1,-4.2,0.059,0.158,0.324,0.531,0.161
2406,Caron Butler,1610612765,DET,35.0,6-7,79,228,Connecticut,USA,2002,1,10,78,5.9,2.5,1.0,-1.8,0.014,0.123,0.132,0.544,0.074
201858,Cartier Martin,1610612765,DET,30.0,6-7,79,220,Kansas State,USA,Undrafted,Undrafted,Undrafted,23,1.6,0.9,0.5,2.3,0.0,0.114,0.128,0.34,0.085
202718,Chandler Parsons,1610612742,DAL,26.0,6-9,81,227,Florida,USA,2011,2,38,66,15.7,4.9,2.4,4.6,0.032,0.132,0.205,0.567,0.111
101112,Channing Frye,1610612753,ORL,32.0,6-11,83,255,Arizona,USA,2005,1,8,75,7.3,3.9,1.3,-7.6,0.016,0.169,0.141,0.546,0.074
101236,Charles Hayes,1610612761,TOR,31.0,6-6,78,240,Kentucky,USA,Undrafted,Undrafted,Undrafted,29,1.7,1.8,0.7,7.6,0.082,0.163,0.106,0.492,0.105
101111,Charlie Villanueva,1610612742,DAL,30.0,6-11,83,232,Connecticut,USA,2005,1,7,64,6.3,2.3,0.3,-3.3,0.046,0.185,0.261,0.534,0.047
201978,Chase Budinger,1610612750,MIN,26.0,6-7,79,209,Arizona,USA,2009,2,44,67,6.8,3.0,1.0,-10.5,0.029,0.149,0.165,0.537,0.082
2365,Chris Andersen,1610612748,MIA,36.0,6-10,82,245,Blinn,USA,Undrafted,Undrafted,Undrafted,60,5.3,5.0,0.7,0.5,0.086,0.234,0.125,0.622,0.063
